,date,total_actual_demand_mgd,total_projected_demand_mgd,actual_projected_demand,total_plant_demand_mgd
0,2020-01-01,12.47,12.06,1.0339966832504146,12.77
1,2020-01-02,13.24,13.11,1.0099160945842869,14.17
2,2020-01-03,13.57,13.53,1.0029563932002956,14.1
3,2020-01-04,13.38,13.63,0.9816581071166545,13.84
4,2020-01-05,13.52,13.7,0.9868613138686131,14.51
5,2020-01-06,13.9,13.56,1.0250737463126844,14.62
6,2020-01-07,13.89,13.48,1.0304154302670623,14.32
7,2020-01-08,13.67,13.51,1.0118430792005921,14.4
8,2020-01-09,13.46,13.71,0.9817651349380014,14.61
9,2020-01-10,13.52,13.72,0.9854227405247813,13.99
10,2020-01-11,13.3,13.67,0.9729334308705194,13.99
11,2020-01-12,13.56,13.49,1.005189028910304,14.32
12,2020-01-13,13.54,13.7,0.9883211678832117,14.04
13,2020-01-14,13.55,13.73,0.9868900218499636,14.17
14,2020-01-15,13.39,13.74,0.9745269286754003,14.07
15,2020-01-16,13.76,13.86,0.9927849927849928,14.26
16,2020-01-17,13.74,13.82,0.9942112879884226,14.39
17,2020-01-18,13.46,14.04,0.9586894586894587,14.16
18,2020-01-19,13.82,13.97,0.9892627057981389,14.2
19,2020-01-20,14.58,14.1,1.0340425531914894,15.54
20,2020-01-21,13.23,14.15,0.934982332155477,14.78
21,2020-01-22,14.27,14.12,1.0106232294617563,14.63
22,2020-01-23,14.06,14.15,0.9936395759717315,14.69
23,2020-01-24,14.21,14.16,1.0035310734463276,14.96
24,2020-01-25,14.29,14.25,1.0028070175438597,14.92
25,2020-01-26,14.44,14.18,1.0183356840620592,14.78
26,2020-01-27,14.37,14.2,1.0119718309859156,15.23
27,2020-01-28,14.42,14.09,1.0234208658623136,14.98
28,2020-01-29,14.04,14.33,0.9797627355198884,14.51
29,2020-01-30,14.16,14.11,1.0035435861091424,15.17
30,2020-01-31,14.01,14.04,0.9978632478632479,14.87
31,2020-02-01,14.13,14.53,0.9724707501720579,14.92
32,2020-02-02,14.58,14.34,1.0167364016736402,15.62
33,2020-02-03,13.67,14.5,0.9427586206896552,14.81
34,2020-02-04,14.0,14.22,0.9845288326300985,16.08
35,2020-02-05,14.07,14.54,0.96767537826685,7.01
36,2020-02-06,15.85,14.51,1.0923501033769814,13.25
37,2020-02-07,13.26,14.52,0.9132231404958677,14.93
38,2020-02-08,13.65,14.66,0.9311050477489768,17.75
39,2020-02-09,13.97,14.81,0.9432815665091154,17.94
40,2020-02-10,14.58,14.58,1.0,18.35
41,2020-02-11,14.34,14.57,0.9842141386410432,15.03
42,2020-02-12,14.18,14.47,0.9799585348997927,15.19
